id,game_name,platform,genre,hours_played,year_started,year_completed,status
5,Palia,"Switch, PC, Xbox S",MMORPG,950.0,2024,,Endless
6,Heartopia,"Mobile, PC","MMORPG, life sim",200.0,2026,2026,Abandoned
